firstname,lastname,gender,dob,auth,subject1,grade1,subject2,grade2,subject3,grade3,subject4,grade4,subject5,grade5,has_duplicate_subjects
RYAN, White,M,1978-02-10, Wolverhampton,English Literature,F,English Literature,D,English Literature,E,English Literature,C,History,U,True
NATALIE, Brown,F,1978-12-08, Herts,English Literature,C,Double Science,G,Maths,A*,History,U,Geology,F,False
UNKNOWN, Walker,M,1977-06-30, Bath/Avon,Double Science,A*,Maths,G,Geography,E,History,D,Geology,B,False
SCOTT, ,M,1978-10-23, Bath/Avon,Maths,G,English Language,D,Double Science,F,Geography,B,Geography,B,True
JACOB, Wilson,M,1979-02-22, Bath/Avon,English Language,E,Maths,E,English Literature,B,Double Science,Invalid,History,D,False
DANIELLE, Wright,F,1979-07-26, Bath/Avon,English Language,G,Double Science,C,History,C,NA,U,Maths,C,False
MICHAEL, Hall,M,1979-07-26, Wolverhampton,Double Science,B,History,C,English Literature,G,Geography,B,Maths,E,False
JORDAN, Williams,M,1977-01-20, Bath/Avon,Geography,U,History,B,History,NA,English Language,U,English Language,A*,True
JORDAN, Johnson,M,1978-09-02, Bath/Avon,NA,NA,English Literature,G,History,A,Maths,A,Geography,F,False
HAYLEY, Davies,F,1978-08-05, Bath/Avon,English Language,C,Maths,A*,English Literature,C,History,A,Double Science,E,False
REBECCA, White,F,1977-05-03, Bath/Avon,Maths,U,Double Science,D,English Language,B,History,U,Geography,G,False
UNKNOWN, Walker,F,1978-01-20, Wolverhampton,Maths,F,English Language,D,History,B,Double Science,G,Geography,A*,False
BEN, Johnson,M,1978-09-02, Bath/Avon,History,A*,Geography,B,Double Science,E,English Literature,D,Maths,E,False
EMILY, Johnson,F,1978-09-01, Herts,Geography,A*,Maths,D,History,D,Double Science,B,English Language,A,False
JESSICA, Jackson,F,1979-11-03, Herts,Maths,U,English Language,A,History,A*,Double Science,G,Geography,E,False
HANNAH, Wilson,F,1977-03-29, Herts,Double Science,E,Geography,E,English Language,U,Maths,D,History,D,False
LEIGH, Wright,F,1977-04-07, Bath/Avon,English Literature,A*,Double Science,F,NA,A*,Maths,A,Geography,Invalid,False
JAMIE, Wright,M,1979-06-30, Wolverhampton,English Language,A*,Maths,D,Geography,A,Double Science,Invalid,History,D,False
STEPHANIE, Clark,F,1979-07-19, Wolverhampton,Geography,E,Maths,B,NA,B,Double Science,G,History,E,False
JORDAN, Johnson,M,1978-07-02, Bath/Avon,English Literature,F,Double Science,A*,History,A*,Geography,F,Maths,C,False
ALEXANDER, Taylor,M,1978-09-16, Wolverhampton,English Language,U,History,F,History,C,Geography,A*,Double Science,U,True
JACOB, Jones,M,1978-01-06, Herts,English Language,F,History,F,English Literature,E,Double Science,A,Maths,F,False
BETHANY, Jackson,F,1979-10-28, Herts,English Language,C,Geography,E,English Literature,F,History,C,Maths,D,False
AMY, Roberts,F,1978-02-06, Bath/Avon,English Literature,D,English Language,B,Geography,U,Maths,F,Double Science,Invalid,False
AARON, Jones,M,1978-04-03, Wolverhampton,History,F,English Language,C,Geography,U,Double Science,U,Double Science,F,True
SHANNON, Taylor,O,1978-06-03, Wolverhampton,History,U,English Literature,E,Maths,A,Maths,A,Geography,B,True
AMY, Jones,F,1979-07-01, Wolverhampton,History,C,English Literature,C,Maths,G,Double Science,A,English Language,A,False
MARK, Wright,M,1978-09-04, Bath/Avon,Maths,E,Double Science,G,English Literature,D,English Language,F,History,G,False
DANIEL, Walker,M,1978-01-01, Herts,Geography,A,English Literature,E,History,F,NA,F,Double Science,Invalid,False
UNKNOWN, White,M,1978-07-23, Herts,History,E,Geography,C,Maths,G,English Language,D,NA,A*,False
HOLLY, Davies,F,1977-03-20, Wolverhampton,English Literature,B,English Language,C,Double Science,F,NA,A*,Maths,A*,False
DAVID, Taylor,M,1978-05-17, Wolverhampton,NA,G,History,A,Double Science,E,Geography,G,English Language,B,False
UNKNOWN, Smith,M,1978-02-27, Herts,NA,B,Geography,B,Maths,F,History,E,Double Science,D,False
JAMES, Davies,M,1977-09-21, Wolverhampton,Geography,A*,English Literature,A,Maths,C,English Language,G,History,F,False
KIERAN, Wood,M,1979-10-28, Herts,English Language,C,Double Science,D,Maths,C,Geography,A+,History,Invalid,False
VICTORIA, Clark,F,1979-12-24, Bath/Avon,English Literature,Invalid,History,E,English Language,C,Maths,A,Double Science,B,False
ASHLEY, Johnson,M,1978-02-20, Wolverhampton,History,D,Geography,E,Maths,B,English Language,NA,Double Science,D,False
JAKE, Clark,M,1979-05-20, Bath/Avon,Maths,C,English Literature,E,History,C,Geology,B,Geography,A,False
ZOE, Taylor,F,1978-09-04, Herts,Geography,U,History,F,English Language,D,English Literature,B,Double Science,C,False
ELEANOR, Hall,F,1979-12-12, Herts,Maths,C,Double Science,E,English Literature,D,Geography,U,English Language,Invalid,False
CHARLOTTE, Wood,F,1977-12-24, Bath/Avon,English Literature,C,Maths,A*,Geography,E,English Language,C,History,D,False
BRADLEY, Robinson,M,1978-01-18, Herts,History,E,English Language,D,English Literature,G,Double Science,U,Geography,A,False
LUCY, Evans,F,Invalid Date, Bath/Avon,History,E,Geography,G,Maths,B,NA,C,Double Science,C,False
JOSHUA, Thompson,M,1978-08-10, Wolverhampton,Double Science,A,Geography,U,Geology,E,Maths,A,English Literature,A,False
NATHAN, Smith,M,1979-05-16, Wolverhampton,Geography,Invalid,Double Science,E,English Language,B,History,U,Maths,G,False
TAYLOR, Williams,M,1979-07-04, Herts,English Literature,C,History,G,Geography,E,Maths,C,Double Science,G,False
SAM, Clark,M,1979-11-07, Herts,Double Science,F,English Language,A*,History,D,Geography,B,English Literature,D,False
ALEXIS, Brown,M,1978-10-12, Bath/Avon,Geography,F,English Language,G,Double Science,C,English Literature,U,Geology,E,False
ALEXIS, White,F,1979-10-18, Herts,Double Science,C,English Language,A,English Literature,D,History,U,Maths,F,False
ZOE, Johnson,F,Invalid Date, Herts,Geology,B,English Language,F,Maths,C,History,G,English Literature,D,False
JORDAN, Wood,F,1979-06-28, Wolverhampton,Geography,A*,English Literature,A+,Double Science,F,Maths,A*,English Language,C,False
SAM, Johnson,M,1979-04-20, Wolverhampton,Double Science,D,Maths,E,History,D,English Language,A+,Geography,G,False
ELEANOR, Hall,U,1977-08-12, Herts,History,A,English Literature,A,Double Science,F,Maths,C,Geography,E,False
UNKNOWN, Wilson,F,1979-06-21, Herts,English Literature,E,Maths,Invalid,Maths,A*,English Language,A,Geography,D,True
ROBERT, Smith,M,1977-09-01, Herts,Double Science,D,Maths,C,History,A,English Literature,A*,English Language,U,False
TAYLOR, Wood,M,1978-12-12, Wolverhampton,English Literature,A*,Double Science,F,English Language,F,Geography,C,Maths,U,False
JORDAN, Wright,F,1978-01-12, Wolverhampton,Geography,A*,English Literature,Invalid,Maths,C,English Language,A,Double Science,G,False
CHRISTOPHER, Wright,M,1977-11-27, Herts,English Literature,A,History,D,Geology,A,Maths,A,English Language,D,False
KIRSTY, Jackson,F,1979-10-19, Wolverhampton,Geography,D,History,F,English Language,A,English Language,D,English Literature,G,True
ANDREW, Wood,M,1979-06-23, Herts,Double Science,G,English Literature,C,English Language,B,NA,U,Maths,C,False
THOMAS, Evans,M,1977-11-21, Wolverhampton,Geography,G,English Language,C,Double Science,B,Geology,A*,History,C,False
ALEXANDER, Davies,M,1978-11-20, Wolverhampton,Geology,E,Maths,C,English Literature,D,English Language,C,Double Science,C,False
CHRISTOPHER, Wood,M,1979-10-08, Wolverhampton,English Language,D,History,Invalid,Geography,C,English Literature,D,Maths,F,False
SAMUEL, Jones,M,1979-11-06, Herts,English Literature,B,English Language,D,Geography,F,History,C,Double Science,G,False
SAMUEL, ,M,Invalid Date, Bath/Avon,Maths,A*,Maths,C,Double Science,D,English Literature,B,NA,D,True
NATASHA, Walker,U,1979-05-07, Herts,Double Science,A,English Literature,F,History,E,Maths,A*,Geography,F,False
